run,fold,method,precision,recall,accuracy,roc_auc,f1,average_precision
1,0,XGBoost,0.8431372549019608,0.8835616438356164,0.8915343915343915,0.9571327350023618,0.862876254180602,0.9349379116877077
1,1,XGBoost,0.8414179104477612,0.7333333333333333,0.787542662116041,0.8551327524047234,0.7836663770634231,0.8814002204827477
1,2,XGBoost,0.9242424242424242,0.9457364341085271,0.9311740890688259,0.968729470503219,0.9348659003831418,0.9740474250009747
1,3,XGBoost,0.8064516129032258,0.78125,0.8414634146341463,0.910625,0.7936507936507936,0.9034215137507688
1,4,XGBoost,0.5925925925925926,0.18823529411764706,0.631336405529954,0.6286987522281638,0.2857142857142857,0.5291241409959084
1,5,XGBoost,0.808565866320571,0.5159420289855072,0.7026203534430225,0.7811389475005036,0.6299292214357938,0.7853943438702786
1,6,XGBoost,0.8907849829351536,0.660759493670886,0.7963190184049079,0.7611151295961422,0.7587209302325582,0.8357357450622624
1,7,XGBoost,0.9034090909090909,0.7595541401273885,0.809433962264151,0.9077326978650626,0.8252595155709342,0.9292117555754964
1,8,XGBoost,0.8222222222222222,0.6851851851851852,0.8322147651006712,0.8666666666666667,0.7474747474747475,0.8491255262935533
1,9,XGBoost,0.850756775783175,0.6621917808219178,0.7776137431217286,0.8458802117683523,0.7447234632568172,0.8623744794650005
2,0,XGBoost,0.8571428571428571,0.6926829268292682,0.7711267605633803,0.8638921398810917,0.7661870503597122,0.8838756157285864
2,1,XGBoost,0.8904109589041096,0.7558139534883721,0.8663594470046083,0.9070655068347241,0.8176100628930818,0.9017027154351227
2,2,XGBoost,0.9092996555683123,0.6633165829145728,0.7525720164609053,0.8933121161362366,0.7670702179176755,0.9207752421076961
2,3,XGBoost,0.8693693693693694,0.748062015503876,0.8155053974484789,0.879748639943286,0.8041666666666667,0.8962270075484089
2,4,XGBoost,0.8757763975155279,0.7921348314606742,0.858560794044665,0.9012484394506867,0.831858407079646,0.9062475734804525
2,5,XGBoost,0.8711864406779661,0.6853333333333333,0.8074074074074075,0.8795831417624522,0.7671641791044777,0.8674948493192258
2,6,XGBoost,0.8606338297059947,0.7772413793103449,0.8339628838889801,0.8990800272488402,0.8168146403333937,0.9001862842692803
2,7,XGBoost,0.8156424581005587,0.48344370860927155,0.6870860927152318,0.6182075347572475,0.6070686070686071,0.7224660710605648
2,8,XGBoost,0.8296774193548387,0.5181305398871877,0.7113483590351918,0.7841535139964264,0.6378968253968254,0.7955793653551472
2,9,XGBoost,0.8985507246376812,0.9612403100775194,0.9306569343065694,0.9814488104784816,0.9288389513108615,0.9842949253553769
