group excluded,method,precision,recall,accuracy,f1,average_precision
0,XGBoost,1.0,0.3730996243963513,0.3730996243963513,0.5434414484824801,1.0
1,XGBoost,1.0,0.7475490196078431,0.7475490196078431,0.8555399719495091,1.0
2,XGBoost,1.0,0.7080745341614907,0.7080745341614907,0.8290909090909091,1.0
3,XGBoost,1.0,0.5277777777777778,0.5277777777777778,0.6909090909090909,1.0
4,XGBoost,0.8278278278278278,0.7447095902746511,0.8177635527105421,0.784072054989334,0.8667988801389442
5,XGBoost,0.0,0.0,0.8773913043478261,0.0,-0.0
6,XGBoost,0.0,0.0,0.8642857142857143,0.0,-0.0
7,XGBoost,0.0,0.0,0.8550505050505051,0.0,-0.0
8,XGBoost,0.0,0.0,0.8773841961852861,0.0,-0.0
9,XGBoost,0.0,0.0,0.8786610878661087,0.0,-0.0
10,XGBoost,0.0,0.0,0.8846153846153846,0.0,-0.0
11,XGBoost,0.0,0.0,0.860613810741688,0.0,-0.0
12,XGBoost,0.0,0.0,0.8761061946902655,0.0,-0.0
13,XGBoost,0.0,0.0,0.8639455782312925,0.0,-0.0
14,XGBoost,0.0,0.0,0.9696969696969697,0.0,-0.0
15,XGBoost,0.0,0.0,0.7647058823529411,0.0,-0.0
